#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xf86-video-intel,"graphics driver"
,vulkan,"generic vulkan meta package"
,vulkan-intel,"vulkan drivers for intel"
,mesa,"drivers"
,arandr,"sets resolutions using xrandr"
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,ttf-iosevka,"very  a e s t h e t i c  typeface font used in kenbas rice."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,pcmanfm,"lightweight GUI filemanager"
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
A,picom-jonaburg-git,"sexy but heavy compositor with advanced blur, rounded corners and fancy animations."
,xorg-xprop,"is a tool for detecting window properties."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,nitrogen,"extensive wallpaper tool GUI."
,python-pywal,"makes a colorscheme out of your wallaper"
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
A,matcha-gtk-theme,"a modern dark gtk theme in several colors."
A,tela-icon-theme,"a modern icon theme with a flat and sleek design in several colors."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,pulseaudio-alsa,"is the audio system."
,pavucontrol,"GUI pulseaudio controller."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/kennethbakken/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/kennethbakken/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/kennethbakken/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/kennethbakken/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
